City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather Description
79,Amapa,BR,1.0,-52.0,81.39,77,100,2.48,light rain
80,Hermanus,ZA,-34.4187,19.2345,64.9,71,8,14.16,clear sky
81,Alice Springs,AU,-23.7,133.8833,69.35,52,6,4.61,clear sky
82,Mar Del Plata,AR,-38.0023,-57.5575,63.09,94,90,5.01,light rain
83,Carutapera,BR,-1.195,-46.02,82.08,75,100,6.96,light rain
84,Talaya,RU,61.3833,152.75,-28.14,100,100,1.19,overcast clouds
85,Havoysund,NO,70.9963,24.6622,23.23,81,46,12.46,scattered clouds
86,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,95.58,41,98,10.38,overcast clouds
87,Puerto Ayora,EC,-0.7393,-90.3518,78.76,80,77,9.73,broken clouds
88,Vrangel,RU,42.7297,133.0839,22.28,57,34,8.01,scattered clouds
89,Ginir,ET,7.1333,40.7,56.66,59,4,4.18,clear sky
90,Ust-Ilimsk,RU,58.0006,102.6619,32.25,61,100,13.78,overcast clouds
91,Porto Walter,BR,-8.2686,-72.7439,85.17,65,98,2.86,overcast clouds
92,Manokwari,ID,-0.8667,134.0833,78.01,84,100,6.71,overcast clouds
93,Kruisfontein,ZA,-34.0033,24.7314,59.88,80,100,4.25,overcast clouds
94,Axim,GH,4.8699,-2.2405,80.35,82,49,7.81,scattered clouds
95,Veselynove,UA,47.3567,31.2349,38.95,90,100,16.22,overcast clouds
96,Namatanai,PG,-3.6667,152.4333,80.4,84,100,6.58,light rain
97,Kumertau,RU,52.7667,55.7833,32.77,99,100,13.87,overcast clouds
98,Severo-Kurilsk,RU,50.6789,156.125,38.8,84,100,17.72,overcast clouds
99,Georgetown,MY,5.4112,100.3354,79.9,82,20,5.75,few clouds
100,Jamestown,US,42.097,-79.2353,36.99,78,90,1.01,overcast clouds
101,Guarapari,BR,-20.6667,-40.4975,75.09,86,80,6.73,moderate rain
102,Mitsamiouli,KM,-11.3847,43.2844,81.03,76,11,10.4,few clouds
103,Pevek,RU,69.7008,170.3133,1.22,90,100,20.33,light snow
104,Nanortalik,GL,60.1432,-45.2371,25.9,50,100,5.01,overcast clouds
105,Upernavik,GL,72.7868,-56.1549,14.02,82,41,7.4,scattered clouds
106,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,78,99,9.78,overcast clouds
107,Limbang,MY,4.75,115.0,77.05,97,100,1.59,overcast clouds
108,Kastamonu,TR,41.5,33.6667,37.54,77,6,1.48,clear sky
109,Rypin,PL,53.066,19.4094,32.25,75,83,15.01,broken clouds
110,Bambous Virieux,MU,-20.3428,57.7575,78.22,88,20,6.91,few clouds
111,Sistranda,NO,63.7256,8.834,22.89,68,9,20.31,clear sky
112,Souillac,MU,-20.5167,57.5167,78.37,88,20,6.91,few clouds
113,Nha Trang,VN,12.25,109.1833,69.8,83,95,9.4,overcast clouds
114,Clyde River,CA,70.4692,-68.5914,8.83,92,88,10.36,light snow
115,Dunedin,NZ,-45.8742,170.5036,57.78,97,100,1.54,overcast clouds
116,Saskylakh,RU,71.9167,114.0833,-27.53,96,100,8.39,overcast clouds
117,Skegness,GB,53.1436,0.3363,43.57,88,100,5.82,overcast clouds
118,Bac Lieu,VN,9.285,105.7244,73.92,83,100,5.44,overcast clouds
119,Cabo San Lucas,MX,22.8909,-109.9124,88.9,57,1,1.01,clear sky
120,Laguna,US,38.421,-121.4238,74.64,100,90,6.91,fog
121,Makakilo City,US,21.3469,-158.0858,76.28,88,90,4.61,light rain
122,Airai,TL,-8.9266,125.4092,61.59,87,67,1.77,broken clouds
123,Bredasdorp,ZA,-34.5322,20.0403,61.29,67,89,8.79,overcast clouds
124,Husavik,IS,66.0449,-17.3389,19.31,82,97,12.71,overcast clouds
125,Sakakah,SA,29.9697,40.2064,56.77,40,100,10.31,overcast clouds
126,Tasiilaq,GL,65.6145,-37.6368,24.96,59,86,7.4,overcast clouds
127,Nauchnyy Gorodok,RU,53.4203,83.521,31.06,80,40,20.0,scattered clouds
128,Srednekolymsk,RU,67.45,153.6833,-14.78,98,100,15.79,light snow
129,Sinnamary,GF,5.3833,-52.95,81.45,73,56,7.74,broken clouds
130,Atambua,ID,-9.1061,124.8925,75.99,84,99,1.25,heavy intensity rain
131,Hithadhoo,MV,-0.6,73.0833,81.43,78,16,9.51,few clouds
132,Saint-Pierre,RE,-21.3393,55.4781,78.44,78,0,3.44,clear sky
133,Haines Junction,CA,60.7522,-137.5108,-4.05,59,100,6.91,overcast clouds
134,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,75,14.97,broken clouds
135,Quelimane,MZ,-17.8786,36.8883,82.35,78,0,17.27,clear sky
136,Haukipudas,FI,65.1765,25.3523,15.85,92,91,10.51,overcast clouds
137,Yermolayevo,RU,52.7167,55.8,33.04,99,100,13.6,overcast clouds
138,General Pico,AR,-35.6566,-63.7568,60.42,94,100,10.47,overcast clouds
139,Vardo,NO,70.3705,31.1107,30.18,55,75,11.5,light shower snow
140,Troitskoye,RU,52.9821,84.6757,32.29,98,100,13.96,light snow
141,Gurupa,BR,-1.405,-51.64,88.72,53,92,2.1,overcast clouds
142,Kaoma,ZM,-14.7833,24.8,78.22,41,89,5.84,overcast clouds
143,Itaquyry,PY,-24.9333,-55.2167,95.22,19,0,3.13,clear sky
144,Tuatapere,NZ,-46.1333,167.6833,58.82,93,100,3.22,moderate rain
145,Klaksvik,FO,62.2266,-6.589,32.92,69,17,5.61,few clouds
146,Saint-Philippe,RE,-21.3585,55.7679,78.35,86,21,10.74,few clouds
147,Kapaa,US,22.0752,-159.319,75.18,82,75,5.01,moderate rain
148,Grindavik,IS,63.8424,-22.4338,28.87,93,40,10.36,heavy snow
149,Rudbar,AF,30.15,62.6,64.04,29,0,5.84,clear sky
150,Nome,US,64.5011,-165.4064,5.07,85,90,29.93,snow
151,Cape Town,ZA,-33.9258,18.4232,63.09,62,20,5.01,few clouds
152,Loubomo,CG,-4.1997,12.6739,73.74,95,100,4.59,light rain
153,Dikson,RU,73.5069,80.5464,-22.67,94,96,14.63,overcast clouds
154,Wanning,CN,18.8003,110.3967,61.45,60,86,8.19,overcast clouds
155,Chokurdakh,RU,70.6333,147.9167,-19.55,93,100,14.52,overcast clouds
156,Te Anau,NZ,-45.4167,167.7167,56.41,98,100,0.27,moderate rain
157,Aklavik,CA,68.2191,-135.0107,-24.77,75,20,3.44,few clouds
158,Saint-Joseph,RE,-21.3667,55.6167,77.36,84,10,9.28,clear sky
159,Isangel,VU,-19.55,169.2667,71.71,94,20,0.0,few clouds
160,San Patricio,US,28.017,-97.5169,83.01,57,1,11.23,clear sky
161,Saldanha,ZA,-33.0117,17.9442,62.65,77,27,22.28,scattered clouds
162,East London,ZA,-33.0153,27.9116,64.96,71,96,7.63,overcast clouds
163,Constitucion,CL,-35.3333,-72.4167,63.36,55,3,14.79,clear sky
164,Camacha,PT,33.0833,-16.3333,61.56,59,75,12.66,broken clouds
165,Tyrma,RU,50.0833,132.1667,-22.94,100,70,1.77,broken clouds
166,Hibbing,US,47.4272,-92.9377,33.31,75,90,12.66,overcast clouds
167,Edendale,ZA,-29.6528,30.3147,62.62,94,100,1.95,overcast clouds
168,Sant Feliu De Guixols,ES,41.7833,3.0333,51.91,83,24,3.49,few clouds
169,Evensk,RU,61.95,159.2333,-17.45,74,7,9.33,clear sky
170,Risor,NO,58.7206,9.2342,22.28,97,100,21.81,snow
171,Saint George,US,37.1041,-113.5841,71.35,30,1,0.0,clear sky
172,Nichinan,JP,31.6,131.3667,46.76,76,4,10.11,clear sky
173,Mezinovskiy,RU,55.5042,40.3593,34.79,98,100,9.4,light snow
174,Merrill,US,45.1805,-89.6835,35.37,97,90,3.44,light intensity drizzle
175,Grand Gaube,MU,-20.0064,57.6608,78.39,75,1,5.99,clear sky
176,Sioux Lookout,CA,50.1001,-91.917,26.98,93,90,5.75,light snow
177,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,8.05,broken clouds
178,Biysk,RU,52.5364,85.2072,33.06,97,100,17.72,light snow
179,Sinjar,IQ,36.3209,41.8754,49.26,35,98,1.74,overcast clouds
180,Belmopan,BZ,17.25,-88.7667,84.29,47,69,5.86,broken clouds
181,Mogadouro,PT,41.3403,-6.7119,42.4,88,15,3.91,few clouds
182,Provideniya,RU,64.3833,-173.3,28.44,98,100,5.19,light snow
